Name,Brand,Price,Rating,Processor_name,Threads,RAM_GB,RAM_type,Storage,Storage_type,Graphics_name,Display_size,Touch_screen,OS
HP Victus 15,HP,50399,2.92,AMD Ryzen 5,12,8,DDR4,512, SSD,AMD Radeon RX 6500M,15.6,TRUE,Windows 11 OS
Lenovo V15 G4,Lenovo,26690,3.16,AMD Ryzen 3,8,8,LPDDR5,512, SSD,AMD Radeon Graphics,15.6,FALSE,Windows 11 OS
HP 15s fq5007TU,HP,37012,2.86,Intel Core i3,8,8,DDR4,512, SSD,Intel UHD Graphics,15.6,FALSE,Windows 11 OS
Samsung Galaxy Book2,Samsung,69990,2.86,Intel Core i5,16,16,LPDDR5,512, SSD,Intel Iris Xe Graphics,13.3,FALSE,Windows 11 OS
Tecno Megabook T1,Tecno,23990,3.06,Intel Core i3,4,8,LPDDR4,512, SSD,Intel UHD Graphics,15.6,FALSE,Windows 11 OS
Samsung Galaxy Book2,Samsung,42990,2.81,Intel Core i5,12,8,LPDDR4,512, SSD,Intel Integrated UHD,15.6,FALSE,Windows 11 OS
Xiaomi Redmi G,Xiaomi,102990,3.33,Intel Core i9,32,16,DDR5,1000, SSD,NVIDIA GeForce RTX 4060,16.1,FALSE,Windows 11 OS
Dell Inspiron 3520,Dell,33780,2.9,Intel Core i3,8,8,DDR4,512, SSD,Intel UHD Graphics,15.6,FALSE,Windows 11 OS
HP 15s fq5330TU,HP,54990,2.91,Intel Core i5,12,16,DDR4,512, SSD,Intel Integrated Iris Xe,15.6,FALSE,Windows 11 OS
Asus Vivobook 15,Asus,55980,2.91,Intel Core i5,16,16,DDR4,512, SSD,Intel Iris Xe,15.6,FALSE,Windows 11 OS
Wings Nuvobook V1,Wings,24990,3.04,Intel Core i5,8,8,DDR4,512, SSD,Intel Graphics,15.6,FALSE,Windows 11 OS
Lenovo V15 82KDA01BIH,Lenovo,26739,3.16,AMD Ryzen 3,8,8,DDR4,512, SSD,AMD Radeon Graphics,15.6,FALSE,Windows 11 OS
HP Victus 16,HP,81990,3.31,AMD Ryzen 7,16,16,DDR5,1000, SSD,NVIDIA GeForce RTX 3050,16.1,FALSE,Windows 11 OS
Zebronics Pro Series,Zebronics,32990,3.08,Intel Core i5,12,16,DDR4,512, SSD,Intel Integrated,15.6,FALSE,Windows 11 OS
Asus TUF Gaming,Asus,79899,3.37,Intel Core i7,16,16,DDR4,1000, SSD,NVIDIA GeForce RTX 3050 Ti,15.6,FALSE,Windows 11 OS
Lenovo LOQ 15IRH8,Lenovo,59990,3.3,Intel Core i5,12,16,DDR5,512, SSD,NVIDIA GeForce RTX 2050,15.6,FALSE,Windows 11 OS
Dell Inspiron 3525,Dell,36940,3.02,AMD Ryzen 5,12,8,DDR4,512, SSD,AMD Radeon Radeon Graphics,15.6,FALSE,Windows 11 OS
Asus TUF F15,Asus,53890,3.16,Intel Core i5,12,8,DDR4,512, SSD,NVIDIA GeForce RTX 2050,15.6,FALSE,Windows 11 OS
Lenovo ThinkBook 15,Lenovo,33500,3.05,AMD Ryzen 3,8,8,DDR4,512, SSD,AMD Radeon AMD,15.6,FALSE,Windows 11 OS
Gigabyte G5 MF,Gigabyte,69990,3.27,Intel Core i7,16,16,DDR4,512, SSD,NVIDIA GeForce RTX 4050,15,FALSE,Windows 11 OS
